"","library_name","ulc_member","type_of_elimination","reason_for_stopping_fines","lat","long","source","policy_notes"
"50","Manchester City Library","FALSE","Children and Teens Only","City library officials said they made the change after speaking to parents who said they weren’t library users because they were unable to pay fines. City leaders also said the elimination of the 25-cents-a-day fine should help encourage literacy and learning.",42.992283,-71.458824,"http://www.unionleader.com/education/manchester-libraries-eliminate-overdue-fines-for-children-teen-books-20181002",NA
"51","Hillsboro Public Library","TRUE","Children Only",NA,45.51474,-122.974823,"https://www.wccls.org/overdue-fine-rate-changes-faq","Part of the Washington County Cooperative Library Services, whose member libraries are all fine free for youth materials"
"52","Lincoln City Libraries","TRUE","Children Only","Library Director Pat Leach said that LCL research determined overdue fines have become an ineffective motivator to return books promptly.  She said fines are an unnecessary barrier for children who often lack the autonomy or ability to return library materials on time, and for families who cannot afford to pay them.",40.81292,-96.700716,"https://www.klkntv.com/story/39882169/lincoln-city-libraries-to-lift-late-fee-on-youth-materials",NA
"53","Port Townshend Public Library","FALSE","Everyone","“We know nationally, from research about late fines, that [fines] don’t actually get items back on time,” said Melody Eisler, Port Townsend Public Library director.  “[The fines] are punitive and they don’t inspire a lifelong love of reading and libraries.”  Eisler said the fines also are problematic for children. Because they can’t drive to the library, it’s easy for children to inadvertently rack up fines and then not be able to get what they need for school, she said.",48.116712,-122.763587,"http://www.peninsuladailynews.com/news/jefferson-county-port-townsend-libraries-drop-late-fees/","If an item has been checked out for four weeks it’s library policy to send the library user a bill for the item. If they return the item, they aren’t charged for it, she said."
"54","New London Public Library","FALSE","Everyone","Library Director Anne Lowery researched library policies and spoke to library professionals all over the country. “I talked to library people who actually work with local police to arrest people who keep books out too long. I’ve talked to libraries that don’t do fines and don’t have a problem losing material because of a lack of incentive to bring things back on time.  Fines have never been about revenue. Fines punish loyal patrons who just can’t get a book finished in time or elderly patrons who don’t want to venture out in bad weather just to return a book. Those irresponsible people who don’t care about the fine and aren’t going to return material regardless will always be part of the equation. We could fine them ten cents or $10 a day and turn them over the collections, they don’t care.” After much deliberation, she approached the Library Board of Trustees with the idea to eliminate fines. Once she explained her reasons and the results of her research, the Board agreed to change the policy. Staff, said Lowery, was more skeptical. “I asked staff if they really felt good about telling a kid that they weren’t allowed to check out a book because they owed a fine. I asked them if they enjoyed arguing with people over ten cents when those people were not going to follow the rules no matter what. Is that worth it?” Lowery said the biggest concern her staff expressed is that there would be no incentive for irresponsible patrons to bring things back on time without the fines. “I asked them if they really thought that $1 a day fine mattered to the people who weren’t intending to pay it in the first place. We’ve always had those people and will continue to see them come and go; with or without fines. I’d rather focus on the 99% of responsible patrons.”",41.084113,-82.398545,"https://newlondonpubliclibrary.org/fine-free-library","If you have overdue items, you will not be able to check out more material until those items are renewed or returned. If thirty days goes by and you don’t return or renew the material and you ignore the notices we give, we will assume you lost the items and you will get a bill from us."
"55","Macedon Public Library","FALSE","Everyone","The  decision to go fine-free was made as a result of our mission statement.  Our mission is to connect people and ideas with outstanding customer service and access to diverse materials. Charging fines for overdue materials creates an unnecessary obstacle to the  access of information.  Also, charging fines to patrons impedes the First Amendment because it places a barrier to the flow of information created by the freedom of the press. It creates a situation whereby those with means can afford to have continued access  to ideas in print, but those without the means to afford fines and penalties become restricted.  In a democracy, the free flow of information and ideas in print for all members of the community is paramount. Giving patrons the chance to return items in a timely  manner is far friendlier to both our democratic ideals and patrons.",43.067188,-77.307353,"https://macedonpubliclibrary.org/2015/07/28/thank-you/",NA
"56","Ela Area Public Library","FALSE","Everyone","Creating financial barriers to using the Library is counterproductive. We want to encourage more use, not discourage it. We think there are better ways of encouraging people to return items on time than to threaten them with financial penalties. After all, you're already paying for library access through your property taxes. Why should you owe us more money? Overall, late fees contribute about 1% of our operating revenue. Late fees have long been used as a means of encouraging users to return materials. We are fortunate that this revenue isn't critical to our operation. We have a plan to encourage returns without adding a financial penalty.",42.194986,-88.088462,"https://eapl.org/no-more-late-fees-another-reason-love-your-library",NA
"57","Arapahoe Library District","FALSE","Everyone","The change in the overdue fine policy was implemented to eliminate any barriers for our patrons to use our libraries and to access the wealth of materials and resources available. The elimination of overdue fines is another way to serve our community and encourage those who might not regularly use the library to stop by and experience what we have to offer.",39.578915,-104.838807,"https://arapahoelibraries.org/faq/fine-free/","A replacement cost will be assessed if an item is not returned within 30 days after its due date. Once the billed item is returned, the replacement cost will be waived."
"58","Jeff Davis County Library","FALSE","Everyone",NA,30.588493,-103.893763,"http://www.co.davis.ut.us/docs/default-source/default-document-library/fine-free-flyer-(1).pdf?sfvrsn=fe5c53_2","This new policy applies only to overdue fines. Fee’s for damages lost materials, interlibrary loans, lost library cards and other miscellaneous library fees are not included"
"59","Saint Paul Public Library","TRUE","Everyone","Community engagement and national research reveal that fines create a barrier to library use for many people. While many library users incur late fines, the ability to pay them depends greatly on income. Those who are able to pay can keep using the library, whereas those who are unable to pay cannot. This runs counter to our public mission.",44.944103,-93.097146,"https://sppl.org/about-fine-free/",NA
"60","Oak Park Public Library","TRUE","Everyone","Policies should define how the library wants to interact with the community, said Executive Director David J. Seleb. “And this policy change is focused on access and equity. Overdue fines are a regressive method of raising revenue, they hurt the most those who can afford them the least, create stress-filled interactions, and require significant amounts of staff time to manage.”",41.889216,-87.796409,"https://oppl.org/news-events/announcements/on-june-1-we-go-fine-free/",NA
"61","Miami-Dade Public Library System","TRUE","Everyone","Wanted to decrease negative customer interactions, increase access to the library, decrease administrative time spent collecting and reconciling small amounts of money, and providing a means for patrons to have a fresh start with the library.",25.774595,-80.196846,"https://www.mdpls.org/fines-fees/fines-fees.asp",NA
"62","Sno-Isle Libraries","TRUE","Everyone","Periodic national research on library late fees and overdue issues continues to find that the costs of collecting these funds may exceed the benefits and the practice is often ineffective in reducing or eliminating overdue behaviors. It has also been determined that late fees may disproportionately impact children as library customers.",48.063603,-122.18691,"https://askus.sno-isle.org/faq/223843","Sno-Isle Libraries has not charged late fees for over 35 years."
"63","Caruthersville Public Library","FALSE","Everyone","Caruthersville Public Library feels that the goodwill of the community is worth much more than the monetary value of charging overdue fines. This is especially pertinent in Caruthersville since it  is located in the poorest county in the state, a fact that contributed to fines paid being less than 0.5% of their budget",36.184432,-89.665075,"http://cville.lib.mo.us/services/",NA
"64","Ruby M. Sisson Memorial Library","FALSE","Everyone","The biggest reason is that if people are concerned about items being overdue, and having to pay a late fee, then they may not check items.  That means that books (or other items) are kept out of the hands of all ages, including children.",37.266988,-107.017426,"https://pagosalibrary.org/borrowing-materials/","For some people, they feel the need to pay a little if they have items overdue, so we have something we call a ""Conscience Jar.""  If people want to put something in there, fine.  We certainly don't ask it, though.  Interestingly, we found years ago that the overdue revenue was approximately the same as what we get in the conscience jar, and in the meantime, it both creates good feeling towards the library, and encourages people to check things out. "
"65","Toledo Lucas County Public Library","TRUE","Everyone","For those who can afford the fines, paying a small late fee is no problem, so the overdue fines are not a particularly strong incentive. For those who can’t afford the overdue fines, they have a disproportionately negative impact. ",41.654578,-83.540117,"http://www.toledolibrary.org/policies/no-fines-policy",NA
"66","Charleston County Public Library","FALSE","Everyone","Library Director Nicolle Davies argued that outstanding fines can prevent some patrons from returning to the library, particularly low-income cardholders who can’t afford to pay. ",32.788619,-79.931161,"https://www.postandcourier.com/news/late-book-fees-eliminated-at-all-charleston-county-library-branches/article_e85e79ac-9fdb-11e8-b6d8-97789e9b7294.html","If a patron doesn't return a book within 42 days of check-out, he or she will be billed for the full cost of the item. And patrons still have to pay any fines accrued before June 20."
"67","Hartford Public Library","TRUE","Children Only","In efforts to reduce barriers to access information, technology and resources the Hartford (CT) Public Library’s Materials Lending Policy supports ease of access with reduced or eliminated fines for overdue materials.",41.762141,-72.673985,"https://www.hplct.org/library-policies/materials-lending-policies",NA
"68","Richland Library","TRUE","Everyone","Reducing access barriers and promoting equity for all.",34.004153,-81.037427,"http://www.richlandlibrary.com/borrowing-guidelines",NA
"69","Rochester Public Library","TRUE","Children and Teens Only","The library adopted the policy to address the endemic problem of poverty in its community and with the goal of increasing access and circulation of library materials among families living in poverty",43.154078,-77.608289,"https://roccitylibrary.org/spotlight/the-rochester-public-library-is-awarded-the-2017-joseph-f-shubert-library-excellence-award/",NA
"70","San Jose Public Library","TRUE","Children and Teens Only","It is the mission of San José Public Library to provide equal access to information, services, and opportunities that empower, enrich, and enhance the quality of life for all.  Fines are a barrier to that access.",37.335549,-121.885042,"https://www.sjpl.org/blog/childrens-young-adult-materials-fine-free#what","Pilot Program for FY 2018/19"
"71","Pikes Peak Library District","FALSE","Everyone","""Our mission as an organization is to eliminate barriers to information and resources, not create them,"" said Director of Library Services, Tim Blevins in a press release.",38.954008,-104.793259,"https://www.kktv.com/content/news/Pikes-Peak-Library-District-eliminating-overdue-fines-504870661.html",NA
"72","Stark County District Library","TRUE","Everyone","The no-fine policy is one piece of the district library’s effort to reposition itself so it can remain sustainable in the face of competition from the Internet, Amazon, Kindle and Netflix. Director Tena Wilson said convenience is a determining factor when people decide where to go for information, and for many patrons, fines are an inconvenience. For some patrons, fines have become a barrier, she said.“The old way of thinking was, ‘This is our stuff and we have to protect it.’ The new way of thinking is that, ‘This is your stuff and how can we help you (access it),’ ” said Wilson, noting that the district relies on a property tax levy for funding. They discovered that it cost more money in staff time for the tracking, collecting and accounting of the overdue fines than the $188,000 the district collects in penalties each year. She said they also found that the fines tend to penalize the library’s loyal customers the most. She said figures show that more than 90 percent of the district’s 102,700 active cardholders owe less than $25 in fines.",40.805544,-81.373369,"http://www.cantonrep.com/article/20140724/NEWS/140729559","Under the new no-fine policy, borrowers still will receive reminders when their library materials are due and when they have become overdue.
After the materials have been overdue for more than 28 days, the library will assume the items are lost and will send the borrower a bill for the material’s replacement cost."
"73","Toole City Library","FALSE","Everyone",NA,40.531019,-112.3022,"https://tooelecity.org/city-departments/finance/fees/#Library","The item cost is billed to the library card once an item is overdue 15 days. (This disrupts circulation until the item is returned). If the item is not returned at 30 days overdue, the account proceeds to the City attorney for legal collection."
