1,Username,Date,Time,Comment,Reply,Reply-To,Reply-To_Row_Num,Respect_Count,Edited
12,user744108,6/26/19,10:38 AM,"This seems like another example of basic government services being held hostage in order to ensure voter approval.  Either you double the past levy (almost) and fund our pet social-justice programs (no fines), or we will ""be forced"" to drastically cut library services.  No inbetween. 

Also, what percentage of the library budget came from general fund dollars before the great recession and what is the percentage now?  Are there programs or costs (payroll or operational) that are currently coming out of the general fund that will switch to levy dollars if this passes?  If so, then the levy is just part of an accounting trick to increase your taxes to pay for other pet projects, using money from the general fund that used to go to the library (displacement). These are the questions that need answering so voters know whether this is truly a library levy or really just a social justice program levy disguised as a library levy, in whole or in part.",no,na,na,14,no
13,ThePessimist,6/27/19,1:58 PM,"You hit the nail on the head. Displacement is the game. They do it with parks, libraries, public safety, transportation, you name it. The parks district was a massive displacement trick. It begs the question why the city doesn't put less important programs on the ballot but the answer is obvious- they know the public would vote down their pet projects. Seattle voters are not generous; they are gullible. They fall for these tricks time and time again. Worse yet, common citizens go out and actively promote these displacement ballot measures on social media and in other ways. It's bad enough to be tricked into voting for financial displacement, but to get lured into going out and spreading the propaganda is another level of gullibility.",yes,user744108,12,1,no
14,eumnwa,6/26/19,10:16 AM,"As Library Board President Jay Reich sees it, “If you want to collect more than a 1% increase in property taxes per year, you have to vote it. And our expenses are going up faster than 1% — by a lot.”
This is a lie.  Has anyone seen 1% or less property tax growth? No, because assessed values have gone up far more than 1% per year.
Also, when the library stops supporting left wing political commentary/events and allows homeless parking or open viewing of graphic adult content, then maybe...",no,na,na,5,no
15,Eastward,6/26/19,5:28 PM,"Ah, the last paragraph gives you away.  You just don't want people to have information.  Particularly if it does not comport with your white bread view of the world.  Also not buying your concerns about ""parking"" or content viewing:  Can you imagine any library trying to restrict what people read and watch?  I guess YOU could.  This is America, not China.

Also, you are totally ignorant on public funding.  Employee salaries are rising as are benefits and medical insurance coverages.  They are in the 3-6% annual range.  Property tax receipts for a municipality can ONLY increase by 1% per year under state law, plus any smaller increase in ""new construction.""

Seattle, Medina, Kitsap County libraries are all in the same position.  There is no waste, simply a restrictive state law that squeezes municip0alities more than even cost of living increases.",yes,eumnwa,14,0,no
16,Cameric98133,6/26/19,8:56 AM,"Our libraries are one of the civic jewels that makes Seattle a great place to live, similar to parks, our various waterfronts and museums. I see that some of the cranks are already sniping that the levy isn't ""worth it."" 

For those who don't read much or visit libraries regularly, paying that much isn't worth it. They might be thinking, ""I want to keep my $7 a month. I don't want to donate it so others can read a book."" 

But the libraries aren't measured by worth; they are measured by value.

There is value in being able to check out (for free) $300 worth of books on landscaping when you are putting in irrigation in your back yard. Instead of buying the books at Home Depot. There is value in having a young student in a limited-income household be able to get information for a school paper, instead of trying to buy it from a bookstore. Having all that knowledge available is a public value, a public good. Like paved streets, mass transit and concert halls, it is infrastructure that is not meant to make a profit, but to make our lives better. ",no,na,na,4,yes
17,IIbqa,6/26/19,9:39 AM,"I agree with the value of our libraries, but am opposed to the policy of eliminating fines for late or unreturned books and other checked-out items. This gives the impression that it is OK to be irresponsible. We need these items to be returned in a timely way so that other people have access to be able to borrow them, too.  That is the purpose of having a public library. Although I am a Friend of the Library and donate to it every year, I will be voting against this levy for this reason.",yes,Cameric98133,16,14,no
18,akcrabber,6/26/19,10:52 AM,Cutting off your nose to spite your face. Fines don't work. I really doubt you vote for any property tax measures.,yes,Iibqa,17,0,no
19,IIbqa,6/26/19,11:27 AM,"I am a smart voter. I read both sides, ask questions, and make informed decisions. I don't blindly allow ST to make my decisions for me, but do read their editorials. I don't vote for things I am absolutely opposed to, and will likely continue to donate to Seattle Public Library because I do believe in their main purpose--to provide books and other items that we all can share. Using a library card to check out items should be considered a privilege. To continually be negligent in returning checked-out items within a reasonable amount of time is abusing that privilege, and that privilege should be discontinued or they pay the fines. Those people can still continue to use the resourses of the library, but they should not be allowed take them from the library.",yes,akcrabber,18,12,no
20,ThePessimist,6/27/19,2:01 PM,"Making it personal isn't likely to change any minds, and you certainly didn't change mine. I'm still voting ""No"".",yes,akcrabber,18,1,no
21,ThePessimist,6/27/19,2:00 PM,"Did it ever occur to you that if libraries are really really valuable, then city council should fully fund them without putting them on a ballot measure? Seriously, have you ever considered that? Why put such a valuable civic jewel on a ballot measure? Fully fund it and put non-civic jewels on the ballot.",yes,IIbqa,17,1,no
22,MMBU,6/26/19,8:25 AM,"""Fines may seem insignificant to some, but for those on a limited or fixed income, who might lose a book or forget to return it on time...""

Most of us on are on ""limited"" incomes, in so much as we only make what we make, and behing salaried exempt means it's fixed as well. But it's true that to me, as modest as my income is, a couple of bucks worth of fines aren't a big deal, but I'm just as likely to lose or forget to return a book as someone on a ""limited or fixed income"". I have a full-time job, a full-time project house/garden, and two active dogs. I don't have kids or a hugely active social life, for which I am grateful since I already feel like there aren't enough hours in the day. I get up insanely early in the morning, and am still running to catch a bus to work, as well as home in the afternoon. And I rarely get to bed ""on time"", so I always feel like I'm behind on sleep. What makes you think I'm less likely to forget a book on a bus, or forget to throw it in my bag when it's time to return it?

I'll tell you what would make you think it. It's a word... Starts with an ""R"", ends in ""ility"". C'mon, I know you know it!

Although, I will admit to having had overdue book fines a couple of times in my life.  It's been a long time and they were modest ones, like a day late or so. I paid them. And once I lost a book, but I replaced it.

The choice is not between paying fines and eating. The choice is between being a responsible library patron and member of community (which does not have a minimum income requirement)! and returning the book on time, or being a self-absorbed individual who has no consideration for other patrons (who also might very well be on a limited or fixed income) who are waiting to borrow the book that you took and can't be bothered to bring back.

Or, if you just want to make it all about you...it's about bringing the book back on time and being able to continue to use the library, or not. If you're one of the 19% of users who are one of ""those who may need the library the most"", then wouldn't you be really motivated not to be late? You're able to get to the library to use it when you ""need"" it, but not able to get there to return a book?

The rules don't apply to you because of the amount of money you make (or don't)? Really?
I support more money for libraries. I don't support ending fines, or the mentality behind it. And I especially don't support enabling others in their abdication of all responsibiity in life. Because you know it doesn't end with not getting library books back on time.",no,na,na,20,yes
23,akcrabber,6/26/19,10:55 AM,Everybody needs somebody to look down on. Hope you're wearing a helmet when you fall off that high horse.,yes,MMBU,22,1,no
24,MMBU,6/27/19,9:21 AM,"I didn't say I looked down on people, or that lower-income people are somehow less than I am. I said I don't support the mentality that is proposing to eliminate fines. That is true whether it be a person who thinks they are doing this to help the less fortunate, or if it someone who is less fortunate who believes they shouldn't have to live by the same rules.

I really do have a problem with this idea that somehow, asking lower-income people to follow the rules of using a public service is akin to asking them to starve themselves. They aren't being asked to starve themselves...they are being asked to follow the rules like everyone else. Why is that unreasonable?

Substitue library fines with something else. More serious, perhaps. For example, let's say you get hit by a drunk driver. Does it actually matter how much money the perpetrator makes? Is it less egregious that they decided to get behind the wheel iif they make $35K a year, as opposed to someone who makes $70K? Or if they run a red light and endanger pedestrians? Neglect their children? Or even just dump their old mattress in your neighborhood? At what point do you say...""Because you don't make as much money as other people, I'm okay with you doing this""? 

And yes, a late library book is many, many times less serious than driving drunk or child neglect, but it does still impact other people. Library staff, the cost to the library system as a whole, as well as other patrons. So if you're using the library with no regard to how your actions impact others, you are being self-absorbed and irresponsible, and there simply shouldn't be a income requirement that excuses that kind of behavior.

My point is not that I'm so wonderful and everyone else is so terrible. My point is that while yes, I can afford the fines, I have plenty of excuses as to why I might be late returning a library book...and none of those excuses matter. I checked it out, I bring it back, or there are consequences.

I simply don't believe that people who make less money should be less reponsible than those who make more. Moreover, I don't think it helps anyone to be absolved of their responsiblities in society. Everyone who is mentally capable of taking responsibility for their actions should be responsible. If you are capable of going to the library and checking out materials, then you are equally capable of turning them back in on time.",yes,akcrabber,23,2,yes
25,ThePessimist,6/27/19,2:03 PM,"Yeah, that wasn't a cogent argument. I'm unconvinced and still voting ""No"".",yes,akcrabber,23,1,yes
26,doninseattle,6/26/19,8:22 AM,"A list of some of the programs currently offered that have nothing to do with library operations and provision of materials, which completely waste our tax dollars:

Banned Books in Drag Some of Seattle’s best drag artists and comedians give performances inspired by their favorite banned books.

Bird Week We celebrated Seattle Bird Week April 23-30. In partnership with the Seward Park Audubon Center and other local organizations, we hosted nature writing classes, bird sketching and more.

Booktoberfest Each fall, our librarians visit your favorite bars and pubs for Booktoberfest, our celebration of books, beer and good cheer. (such a great expense of time and money!!!!)

Know Your Rights We can help you understand your legal rights as an immigrant or refugee. (shouldn't this be done at city hall?)

Library Link Library Link is a pilot collaboration between The Seattle Public Library and Seattle Public Schools to connect middle school student with online resources and media. (this should be in the middle school  libraries, not duplicated)

Library Lounge Raise a glass to literature in the Library Lounge, a moveable feast of events and celebrations all around Seattle that combine literature and libations.

Make and Build Come to your Library and learn how to program robots, create a mobile app, make crafts with electrical circuits and other fun projects. (again, something that should be done at schools)

Movies We screen free movies at many of our neighborhood branches and we also occasionally host curated film festivals covering a wide spectrum of topics and interests Icon

Museum Pass Your Library helps you get free admission to participating Seattle museums.

This list goes on and on. If the library system was accountable to a realistic budget and operating plan, we would not be placed in such a GIVE ME GIVE ME GIVE ME situation. We need to fund libraries, but not when they become duplicitous to such waste! Add in the fine elimination, this just becomes ridiculous. 

VOTE NO!!!",no,na,na,9,no
27,akcrabber,6/26/19,10:57 AM,"You hate disseminating knowledge, don't you?",yes,doninseattle,26,1,no
28,unkanny,6/26/19,12:23 PM,"Thank you, now I know I'll vote YES.",yes,doninseattle,26,1,no
29,Loodlernoodler,6/26/19,7:59 AM,Voting no.,no,na,na,9,yes
30,Piscator,6/26/19,7:51 AM,"Library fines amount to something like $4.5m per year. In the big scheme of things, collecting the fines will NOT be enough to support the mission of the libraries or keep the buildings adequately maintained.  Perhaps there is another way to encourage personal responsibility for overdue books but maintaining access to all is critically important if we want to raise the next generation into intelligent well rounded adults who can raise the following generation well.

Libraries are a good thing for ALL citizens, let’s make ours the best we can for future generations.",no,na,na,4,no
31,Perry White,6/26/19,7:37 AM,"I'm voting no. The fine suspension is ridiculous. If you can get to the library to borrow a book, you can get there to return it. Government-sponsored avoidance of personal responsibility is detrimental to society. Even small things like a library fine add up to big things. I hope this latest ""social justice"" overreach will fail and sent a message to the SCC and Mayor's office: May we please have some common sense?",no,na,na,14,no
32,oldwsguy,6/26/19,7:34 AM,"I'm voting against this levy, and if it passes--as I'm sure it will--I will make one last donation to the library foundation, then say goodbye.  So sad the library has joined the no personal responsibility camp.",no,na,na,13,no
33,Bellevue Bob,6/26/19,6:48 AM,"""When fines are suspended, libraries see an increase in people checking out materials""

Wow. And I'll bet that if I eliminate fines for speeding, I'll see more people exceeding the speed limit. ",no,na,na,18,no
34,akcrabber,6/26/19,10:59 AM,"Email and text reminders are more effective than fines, but don't let facts influence your curmudgeonly vote.",yes,Bellevue Bob,33,1,no
35,knowledgeisking,6/26/19,11:38 AM,Enough of your mindless responses.,yes,akcrabber,34,7,no
36,ThePessimist,6/27/19,2:06 PM,"If that were the case the SPL could simply implement email and text reminders before fines are imposed and the problem would self-resolve, no?",yes,akcrabber,34,1,no
37,Ikaika,6/26/19,6:41 AM,"Off course they do, you should run the other way.",no,na,na,3,no
38,centrist,6/26/19,6:11 AM,"No consequences for not those not returning shopping carts, rental bikes, or used syringes.  

There are consequences, but they only affect retirees and workers who pay taxes.  

STEB is advocating for even less personal accountability.",no,na,na,15,yes
39,Irving Washington,6/26/19,5:54 AM,I LOVE the Seattle Public Library but now that they're doing the social justice warrior thing I have to vote no. Sorry.  ,no,na,na,21,no
40,akcrabber,6/26/19,11:01 AM,"Did you mean ""I hate seeing poor people having nice things?""",yes,Irving Washington,39,0,no
41,ThePessimist,6/27/19,2:06 PM,"No, that would be a reading comprehension failure on your part. Still voting ""No"".",yes,akcrabber,40,2,no
42,west seattle dude,6/26/19,5:48 AM,"The times makes a strong case for the levy. 
But keep the fines. Dropping them will make everyone, my family included, more lax about due dates, which will erode service to us all.",no,na,na,7,no
43,akcrabber,6/26/19,11:02 AM,Having your borrowing priviledge suspended will make you more dilligent.,yes,west seattle dude,42,0,no
44,user15280107,6/26/19,2:04 AM,"Fines don’t encourage patrons to bring back materials and pay them off, and if you can’t, you can’t.

Has the board ever visited a library? There's a slot labeled ""Return"". Just shove the books in there if you want to return them and duck the fines. And fair enough if they can't checkout more books if they don't pay the fines. That isn't social injustice, it's just irresponsibility.",no,na,na,12,no
45,2th,6/25/19,11:38 PM,"Wow, yet another call to lower standards from the completely clueless editors of the Seattle Times, in spite of all the evidence that shows what damage such an approach does.

It’s like watching someone repeatedly try to put a square peg into a round hole.",no,na,na,3,no
46,Crystal Gayle,6/25/19,11:06 PM,"Is this the Stranger?  Has Daniel Beekman taken over?  Econ101 Communist version, reporting from Evergreen State College?

This levy (no library late fees, ever) will do for Seattle Public Libraries what the City Council did for homelessness.  

Want to check out this movie?  Sorry, I got it.  And I ain’t brining it back.  Ever.  Leaving it in my car.  Just cuz I can.

The STEB continues to be out of touch with reality... in their race to be hip, like the Stranger?  Where are the adults in the room?",no,na,na,18,no
47,blueskies2,6/26/19,12:33 AM,Beekman needs to go to The Stranger,yes,Crystal Gayle,46,4,no
48,user1044491,6/25/19,10:21 PM,Nope. ,no,na,na,5,no
49,blueskies2,6/25/19,9:27 PM,People need free things.   People do not need responsibility.   Responsibility is not a social justice value.   ,no,na,na,13,no
50,Lookitsme,6/25/19,9:23 PM,"I've never not voted in favor of a library or education levy. 

They lost me this time...too big, and the fines thing is just ludicrous...

I grew up relatively poor... somehow I managed to be responsible enough to return my books on time…",no,na,na,18,no
51,centrist,6/25/19,7:25 PM,"    Fines may seem insignificant to some, but for those on a limited or fixed income, who might lose a book or forget to return it on time

Avoid the fine by returning the items that retiree and worker taxes paid for.

STEB; what other fines do you advocate people not pay?   Fines for speeding, shoplifting, littering, late property tax payment?",no,na,na,13,no
52,user14566891495052,6/25/19,7:28 PM,"Enforce the overdue fines! That's lost income the library could generate. I'm surprised that the Library stopped enforcing overdue fees. That's why they were set in place for. To pay the Library for disappointing patrons who want to read a book that they can only get from them. 

Overdue fees should be used as a life lesson too... Don't way to pay fees? Next time be responsible and remember to bring back something you borrowed. 

That's what I did when I was younger. I remember being a couple days late on a VHS rental and being disappointed in myself for returning it late because I would have to pay for it. Guess what... I paid the fee and vowed to never be late EVER again!

LESSON LEARNED.",no,na,na,5,no
53,user1000576,6/25/19,7:13 PM,I'm voting no! Increase taxes at every opportunity..stop the Seattle way.,no ,na,na,3,no
54,Raindodger,6/25/19,6:26 PM,"Um, no. ",no,na,na,10,no
55,ReadingOne,6/25/19,6:06 PM,"Sorry, I just can't vote for another doubled levy.",no,na,na,17,no
56,knowledgeisking,6/25/19,5:29 PM,The ST is plugging the unpaid fines as one of their social justice warrior initiatives. How about we teach responsibility?,no,na,na,26,no
57,ksea1,6/25/19,5:07 PM,"""At $219 million, it’s almost $100 million more than the $123 million 2012 levy.""

NO!",no,na,na,20,no
58,thedonB,6/25/19,4:09 PM,"Yes, why not (sarcasm)?  Another self imposed tax for the Citizens.

Blame Sound Transit for my ""no"" vote.  As long as they illegally and immorally charge me too much for my car tabs, I will vote ""NO"" on all voluntary taxes.  No fire department, no police, no 911, no parks and no libraries.",no,na,na,12,no
